contig	start	end	tool	superkingdom	phylum	class	order	family	genus	species
1662	10544	43025	genomad	NA	NA	NA	NA	NA	NA	NA
3096	61600	80659	genomad	NA	NA	NA	NA	NA	NA	NA
4014	3	11589	genomad	NA	NA	NA	NA	NA	NA	NA
6792	202	13890	genomad	NA	NA	NA	NA	NA	NA	NA
12823	13151	58952	genomad	NA	NA	NA	NA	NA	NA	NA
2453	810	16700	phispy	NA	NA	NA	NA	NA	NA	NA
4082	293	8296	phispy	NA	NA	NA	NA	NA	NA	NA
6061	5976	21802	phispy	NA	NA	NA	NA	NA	NA	NA
6277	1976	9009	phispy	NA	NA	NA	NA	NA	NA	NA
6919	173	5014	phispy	NA	NA	NA	NA	NA	NA	NA
9342	413	8045	phispy	NA	NA	NA	NA	NA	NA	NA
11539	1891	21333	phispy	NA	NA	NA	NA	NA	NA	NA
13165	227	11777	phispy	NA	NA	NA	NA	NA	NA	NA
17561	14067	38997	phispy	NA	NA	NA	NA	NA	NA	NA
19454	2873	37553	phispy	NA	NA	NA	NA	NA	NA	NA
